Date,#,Item,Location,Information,What is done?,Done,Comment,Implementation_status,Where_to_find_in_app
,1,inputs,all pages,I need to figure out how to aling on options and standards. I have google sheets tables that we can use. It seems like you and I need to get more alignment so we need to figure out a better feedback loop on this item. ,"#1 — Sheets alignment
Deliverable is a single inventory doc so stakeholders can map app inputs to Google Sheets. No in-product UI change.",FALSE,,Doc only,No in-app screen. Review the project doc: docs/data-source-audit.md (stakeholder mapping to Google Sheets).
,2,Equipment selection on Engineering Page,Engineering Page,This is feels like an after thought when it is actually the most critical item. I think we need tabs and this needs to be more aligned to push this ability to change back to the configurator. I would like popout ability to laungh the configurator from here. Right now it is very jumpy when you jump back to the full configurator. ,Engineering workspace split: Calculations vs Equipment full-width tab. Equipment panel keeps Open configurator actions per category. Per-category full-page widgets and true popout drawer still partial vs ideal.,FALSE,,PARTIAL,"Top bar: open Engineering → under the workspace title, switch tabs **Calculations** | **Equipment**. On Equipment, scroll the equipment sections; use **Open configurator** row buttons to jump to the matching mechanical step in Configurator."
,3,Customer,configurator,need a way to input customer and owner which might be different or the same. owner info is needed for permit submittals. ,Customer vs owner blocks with sync; permit-oriented owner callout when code awareness indicates filing.,TRUE,,Shipped,Configurator → left rail **Project Information** → sub-segment **Contacts** → step **Customer**.
,4,Pool Classes,configurator,"we need ""i"" buttons and explanations on what each one means. this is complicated terms that we need to outline in a better way. ",Each pool class has compact info icons with plain-language tooltips next to choices.,TRUE,,Shipped,Configurator → **Project Information** → **Project** segment → **Pool Use** — look for (i) next to pool class options.
,5,Address,configurator,we need ability to type address or select in a map in configurator,Map-first layout with geocode lookup; pin/selection supported via map flow.,TRUE,,Shipped,"Configurator → **Project Information** → **Project** → **Project Location** — map area at top, address search and fields below."
,6,mechancail systems ,configurator,do we need sub drop downs under mechanical in the left hand side so that it is easier to navigate vs scroll. ,Mechanical Systems uses per-step focus: chip/step picker + single-step main pane instead of one long scroll.,TRUE,,Shipped,"Configurator → left rail expand **Mechanical Systems** — use the step chips/rows (Filtration, Sanitation, Secondary Sanitation, Heating, etc.); main canvas shows only the active step."
,7,filter selection process,configurator,"this generally needs refinement. It is better. We need filters to help show based on cost, brand, number of filters. ","Catalogue filters: price range, brand, min filter count, per-row qty.",TRUE,,Shipped,Configurator → **Mechanical Systems** → **Filtration** — scroll to the filter model catalogue / table block.
5/7/2026,8,Price Filter - Range Handle,configurator,I prefer the Range sliders with dual handles for price filtering. Also need to have dolllars there. ,Dual-handle price slider with dollar labels.,TRUE,,Shipped,Same as #7: **Filtration** step → catalogue toolbar → dual-handle price range control.
5/7/2026,9,Brand filters,configurator,we need to have a way to only see one brand. ,Single-brand dropdown (incl. All) tied to catalogue/table.,TRUE,,Shipped,**Filtration** → catalogue area → brand dropdown in the filter toolbar / table context.
5/7/2026,10,Deck and Diving Board toggles,configurator,we need ways to turn this on or off based on the code. only relevant for certain codes. ,Code-driven not applicable state with configure-anyway override.,TRUE,,Shipped,"Configurator → **Pool Volumes** group → **Deck** or **Diving Board** — when codes hide the step, you see the N/A panel first."
